codigo,descripcion
1,"Agricultura, ganadería, silvicultura y pesca"
2,Explotación de minas y canteras
3,Industrias manufactureras
4,"Suministro de electricidad, gas, vapor y aire acondicionado"
5,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación"
6,Construcción
7,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas
8,Transporte y almacenamiento
9,Actividades de alojamiento y de servicio de comidas
10,Información y comunicaciones
11,Actividades financieras y de seguros
12,Actividades inmobiliarias
13,"Actividades profesionales, científicas y técnicas"
14,Actividades de servicios administrativos y de apoyo
15,Administración pública y defensa; planes de seguridad social de afiliación obligatoria
16,Enseñanza
17,Actividades de atención de la salud humana y de asistencia social
18,"Actividades artísticas, de entretenimiento y recreativas"
19,Otras actividades de servicios
20,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio
21,Actividades de organizaciones y órganos extraterritoriales
